x0,x1,u,u_exact
0.0,1.0,-4.898587196589413e-16,-4.898587196589413e-16
0.0,0.8,-0.5877852522924728,-0.5877852522924728
0.2,1.0,-3.9679826083545424e-17,-3.9679826083545424e-17
0.0,0.6,0.9510565162951534,0.9510565162951534
0.2,0.8,-0.10816777313651121,-0.04761212906790089
0.4,1.0,-3.2141687691435438e-18,-3.2141687691435438e-18
0.0,0.4,-0.9510565162951536,-0.9510565162951536
0.2,0.6,0.17501913342226308,0.07703804310861052
0.4,0.8,-0.01990497367583476,-0.0038567058726585246
0.6,1.0,-2.603560019337326e-19,-2.603560019337326e-19
0.0,0.2,0.5877852522924732,0.5877852522924732
0.2,0.4,-0.17501913342226294,-0.07703804310861054
0.4,0.6,0.03220692395267261,0.006240281186572819
0.6,0.8,-0.003659045519500394,-0.0003124031728761027
0.8,1.0,-2.1089511040510792e-20,-2.1089511040510792e-20
0.0,0.0,0.0,0.0
0.2,0.2,0.10816777313651128,0.047612129067900924
0.4,0.4,-0.03220692395267255,-0.006240281186572821
0.6,0.6,0.005920460016934681,0.0005054789519068436
0.8,0.8,-0.0006516684191014851,-2.5305466801330347e-05
1.0,1.0,-1.708305061624935e-21,-1.708305061624935e-21
0.2,0.0,0.0,0.0
0.4,0.2,0.01990497367583478,0.0038567058726585277
0.6,0.4,-0.0059204600169346444,-0.0005054789519068437
0.8,0.6,0.0010544216515011272,4.09451053857346e-05
1.0,0.8,-2.049808406674532e-06,-2.049808406674532e-06
0.4,0.0,0.0,0.0
0.6,0.2,0.0036590455195004085,0.0003124031728761029
0.8,0.4,-0.0010544216515011114,-4.0945105385734605e-05
1.0,0.6,3.316659672424661e-06,3.316659672424661e-06
0.6,0.0,0.0,0.0
0.8,0.2,0.0006516684191014924,2.5305466801330364e-05
1.0,0.4,-3.316659672424662e-06,-3.316659672424662e-06
0.8,0.0,0.0,0.0
1.0,0.2,2.0498084066745335e-06,2.0498084066745335e-06
1.0,0.0,0.0,0.0
